2025-02-01 15:03:56,436 - INFO - Pod: workload-1738422236, Node: normal-worker, Intensity: 334.49, Region: ERCOT, Type: Planned
2025-02-01 15:03:56,955 - INFO - Pod: workload-1738422236, Node: normal-worker, Intensity: 334.49, Region: ERCOT, Type: Actual
2025-02-01 15:04:06,880 - INFO - Pod: workload-1738422246, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Planned
2025-02-01 15:04:07,429 - INFO - Pod: workload-1738422246, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Actual
2025-02-01 15:04:17,367 - INFO - Pod: workload-1738422257, Node: normal-control-plane, Intensity: 318.86, Region: DE, Type: Planned
2025-02-01 15:04:17,883 - INFO - Pod: workload-1738422257, Node: normal-control-plane, Intensity: 318.86, Region: DE, Type: Actual
2025-02-01 15:04:27,706 - INFO - Pod: workload-1738422267, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Planned
2025-02-01 15:04:28,079 - INFO - Pod: workload-1738422267, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Actual
2025-02-01 15:04:38,219 - INFO - Pod: workload-1738422278, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Planned
2025-02-01 15:04:38,563 - INFO - Pod: workload-1738422278, Node: normal-worker2, Intensity: 187.88, Region: NL, Type: Actual
2025-02-01 15:04:48,507 - INFO - Pod: workload-1738422288, Node: normal-worker, Intensity: 294.24, Region: ERCOT, Type: Planned
2025-02-01 15:04:49,061 - INFO - Pod: workload-1738422288, Node: normal-worker, Intensity: 294.24, Region: ERCOT, Type: Actual
2025-02-01 15:04:59,036 - INFO - Pod: workload-1738422298, Node: normal-worker, Intensity: 294.24, Region: ERCOT, Type: Planned
2025-02-01 15:04:59,605 - INFO - Pod: workload-1738422298, Node: normal-worker, Intensity: 294.24, Region: ERCOT, Type: Actual
2025-02-01 15:05:09,547 - INFO - Pod: workload-1738422309, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Planned
2025-02-01 15:05:10,065 - INFO - Pod: workload-1738422309, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Actual
2025-02-01 15:05:19,843 - INFO - Pod: workload-1738422319, Node: normal-control-plane, Intensity: 355.73, Region: DE, Type: Planned
2025-02-01 15:05:20,415 - INFO - Pod: workload-1738422319, Node: normal-control-plane, Intensity: 355.73, Region: DE, Type: Actual
